index,구,행정동,경도,위도,이름,구분
3037,대덕구,덕암동,127.424194,36.441105,꿀돼지식당,상권정보
3047,대덕구,덕암동,127.42173,36.44485,카페 달팽이,상권정보
3053,대덕구,덕암동,127.424385,36.441574,얼큰이식당,상권정보
3060,대덕구,덕암동,127.42393,36.4395,무대포,상권정보
3061,대덕구,덕암동,127.42048,36.44597,치킨포차 병팔이,상권정보
3064,대덕구,덕암동,127.42294,36.44533,소림마라 신탄진점,상권정보
3073,대덕구,덕암동,127.424385,36.441574,바른곱창 덕암점,상권정보
3077,대덕구,덕암동,127.42277,36.436546,백가네보리마을,상권정보
3079,대덕구,덕암동,127.42464,36.444054,노랑통닭 덕암점,상권정보
3083,대덕구,덕암동,127.42571,36.438065,카페 썬플라워,상권정보
3084,대덕구,덕암동,127.42369,36.423492,유김밥,상권정보
3085,대덕구,덕암동,127.423355,36.44501,윤가네김치찌개,상권정보
3600,대덕구,목상동,127.41162,36.448288,알렉산더레스토랑카스광장,상권정보
3609,대덕구,목상동,127.41136,36.447918,석성식당,상권정보
3611,대덕구,목상동,127.41145,36.446053,덕암동쭈꾸미,상권정보
3613,대덕구,목상동,127.41213,36.446922,코코빌치킨,상권정보
3616,대덕구,목상동,127.411354,36.443275,정강푸드,상권정보
3619,대덕구,목상동,127.41646,36.448746,그때그집,상권정보
3621,대덕구,목상동,127.41114,36.447475,낙지수제비,상권정보
3627,대덕구,목상동,127.412186,36.447903,명인통닭 목상점,상권정보
3628,대덕구,목상동,127.40077,36.440872,공동화식당,상권정보
3633,대덕구,목상동,127.41179,36.44756,분이네들깨칼국수,상권정보
3634,대덕구,목상동,127.4103,36.445396,영양골식당,상권정보
3635,대덕구,목상동,127.41065,36.445778,미성참숯갈비전문점,상권정보
3636,대덕구,목상동,127.41187,36.42885,북대전식당,상권정보
3640,대덕구,목상동,127.412445,36.448067,피자마루 대전목상점,상권정보
3641,대덕구,목상동,127.41067,36.446598,킴스부대찌게,상권정보
3642,대덕구,목상동,127.41013,36.447243,조봉순상무국밥 목상점,상권정보
3644,대덕구,목상동,127.412254,36.44777,본가식당,상권정보
3647,대덕구,목상동,127.406105,36.444168,테크노분식,상권정보
3650,대덕구,목상동,127.398766,36.446636,진성아구찜,상권정보
3655,대덕구,목상동,127.41107,36.4478,은혜감자탕,상권정보
3658,대덕구,목상동,127.41646,36.448746,꽃담,상권정보
3660,대덕구,목상동,127.410225,36.447533,흙이랑식당,상권정보
3663,대덕구,목상동,127.410706,36.447933,아저씨 목상점,상권정보
3666,대덕구,목상동,127.4112,36.44615,신추풍령시래기감자탕,상권정보
3667,대덕구,목상동,127.41179,36.44756,로얄SJ포,상권정보
3668,대덕구,목상동,127.41145,36.446053,유정순대,상권정보
3670,대덕구,목상동,127.40522,36.444786,성호복권방,상권정보
3674,대덕구,목상동,127.4121,36.448036,라비타커피,상권정보
3680,대덕구,목상동,127.4112,36.44615,멕시카나치킨식당,상권정보
3687,대덕구,목상동,127.41016,36.4471,맛나참숯불갈비,상권정보
3688,대덕구,목상동,127.410706,36.447933,남가네설악추어탕신탄진점 신탄진점,상권정보
3692,대덕구,목상동,127.41016,36.4471,계륵장군숯불닭갈비,상권정보
3697,대덕구,목상동,127.41159,36.44301,시스템 엔엠푸드,상권정보
3698,대덕구,목상동,127.41415,36.44859,부부식당,상권정보
3703,대덕구,목상동,127.41104,36.448032,청주남주동해장국 신탄점,상권정보
3704,대덕구,목상동,127.41007,36.447666,방일해장국 신탄진점,상권정보
3708,대덕구,목상동,127.41293,36.43811,트리플디엔피자,상권정보
3709,대덕구,목상동,127.41115,36.44827,맛고을,상권정보
3710,대덕구,목상동,127.41048,36.447533,찌글이짜글이 체인본부,상권정보
3713,대덕구,목상동,127.40522,36.444786,이화수전통육개장신일점 신일점,상권정보
3714,대덕구,목상동,127.406105,36.444168,25시등뼈해장국,상권정보
3721,대덕구,목상동,127.411736,36.44281,속초밀향막국수,상권정보
3722,대덕구,목상동,127.41143,36.448223,보성추어탕,상권정보
3725,대덕구,목상동,127.41201,36.448174,바보온달,상권정보
3726,대덕구,목상동,127.414055,36.44877,길손닭집,상권정보
3727,대덕구,목상동,127.412445,36.448067,남경호다우리푸드,상권정보
3729,대덕구,목상동,127.41078,36.44767,불앤구이돈,상권정보
3730,대덕구,목상동,127.412445,36.448067,허허아줌마,상권정보
3732,대덕구,목상동,127.402176,36.444294,효성카페트,상권정보
3734,대덕구,목상동,127.41073,36.44483,카페늘,상권정보
3740,대덕구,목상동,127.41038,36.42941,산들식당,상권정보
3743,대덕구,목상동,127.41216,36.447445,BBQ치킨 목상점,상권정보
3750,대덕구,목상동,127.406105,36.444168,레드썬,상권정보
3751,대덕구,목상동,127.41501,36.447098,중동닭발앤떡볶이,상권정보
3754,대덕구,목상동,127.41501,36.447098,돈석갈비,상권정보
3755,대덕구,목상동,127.41501,36.447098,슈퍼파파피자,상권정보
3757,대덕구,목상동,127.412445,36.448067,꼴까닭바베큐치킨,상권정보
3759,대덕구,목상동,127.406105,36.444168,정박사,상권정보
3760,대덕구,목상동,127.410934,36.44821,삐삐네,상권정보
3761,대덕구,목상동,127.40522,36.444786,에떼,상권정보
3763,대덕구,목상동,127.411766,36.446476,홍희네황기짬뽕,상권정보
3765,대덕구,목상동,127.406105,36.444168,시스템 손푸드,상권정보
3770,대덕구,목상동,127.41064,36.44417,송담추어탕,상권정보
3773,대덕구,목상동,127.410774,36.444706,원조놀뫼식당,상권정보
3779,대덕구,목상동,127.41166,36.44619,둥이식당,상권정보
3782,대덕구,목상동,127.41136,36.447918,석성가든,상권정보
3786,대덕구,목상동,127.40584,36.445305,배꼽시계,상권정보
3787,대덕구,목상동,127.411964,36.44799,칼국수,상권정보
3789,대덕구,목상동,127.41093,36.447735,청원골묵은지김치찌개식당,상권정보
3790,대덕구,목상동,127.40522,36.444786,한솥 도시락신탄진공단점,상권정보
3791,대덕구,목상동,127.41115,36.44433,한양돌구이백반하우스,상권정보
3792,대덕구,목상동,127.40522,36.444786,에떼신일,상권정보
3797,대덕구,목상동,127.411835,36.44272,더구,상권정보
3799,대덕구,목상동,127.412445,36.448067,달아한잔,상권정보
3800,대덕구,목상동,127.41099,36.44741,커피오늘,상권정보
3801,대덕구,목상동,127.41032,36.44609,초이스쿡,상권정보
3805,대덕구,목상동,127.41166,36.44619,싱싱백반,상권정보
3808,대덕구,목상동,127.40522,36.444786,한솥도시락신탄진공단점 신탄진공단점,상권정보
3811,대덕구,목상동,127.41065,36.445778,미성콩나물국밥,상권정보
3812,대덕구,목상동,127.410416,36.44501,풍년갈비,상권정보
3814,대덕구,목상동,127.41143,36.448223,신도칼국수,상권정보
3815,대덕구,목상동,127.41115,36.44827,맛고을대가일식,상권정보
3819,대덕구,목상동,127.410416,36.44501,풍년식당,상권정보
3824,대덕구,목상동,127.412254,36.44777,본가왕갈비식당 왕갈비식당,상권정보
3826,대덕구,목상동,127.41084,36.444885,고기나라,상권정보
3831,대덕구,목상동,127.41029,36.446354,돈이랑쌈이랑,상권정보
3832,대덕구,목상동,127.41073,36.44483,군침돌기,상권정보
3833,대덕구,목상동,127.41103,36.445652,개성왕족발보쌈,상권정보
3834,대덕구,목상동,127.41134,36.44835,어머니소머리국밥,상권정보
3838,대덕구,목상동,127.410225,36.447533,참솔론,상권정보
3840,대덕구,목상동,127.410225,36.447533,흙이랑,상권정보
3842,대덕구,목상동,127.40953,36.443924,가마솥한우설렁탕,상권정보
3843,대덕구,목상동,127.41121,36.443428,을미향,상권정보
3845,대덕구,목상동,127.41107,36.4478,다솔황태해장국,상권정보
3847,대덕구,목상동,127.41133,36.446266,다시찾는왕뚜껑,상권정보
3851,대덕구,목상동,127.410835,36.443867,고기촌,상권정보
3852,대덕구,목상동,127.410706,36.447933,설악추어탕,상권정보
3854,대덕구,목상동,127.410706,36.447933,한모둠 신탄진점,상권정보
3855,대덕구,목상동,127.411835,36.44272,더구식당,상권정보
3859,대덕구,목상동,127.4103,36.445396,멍멍골영양탕,상권정보
