index,요양기관명,종별코드명,시군구코드명,동,주소,우편번호,x좌표,y좌표
1199,호재활의학과의원,의원,대전서구,둔산동,대전광역시 서구 대덕대로 200 4층 (둔산동),35234,127.3785089,36.3506412
1200,홍산부인과의원,의원,대전서구,둔산동,대전광역시 서구 대덕대로176번길 9 2층 (둔산동),35234,127.3776039,36.3486834
1201,홍석철내과의원,의원,대전중구,산성동,"대전광역시 중구 보문산로 61 3층 (산성동, 산성클리닉)",35012,127.3871772,36.3050823
1202,홍인비뇨기과의원,의원,대전유성구,반석동,대전광역시 유성구 반석로 16 (반석동),34068,127.3126642,36.3918614
1203,활기찬의원,의원,대전중구,오류동,대전광역시 중구 계룡로 880,34909,127.4114392,36.3229704
1204,황석주내과의원,의원,대전동구,판암동,대전광역시 동구 옥천로 148 2층 (판암동),34676,127.4566505,36.3166631
1205,황안과의원,의원,대전중구,유천동,대전광역시 중구 계백로 1562 (유천동),34976,127.3938446,36.3172185
1206,효동성모의원,의원,대전동구,효동,"대전광역시 동구 대전로 646 2층 203호 (효동, 효동현대아파트)",34636,127.4407245,36.3182479
1207,효안과의원,의원,대전서구,둔산동,"대전광역시 서구 대덕대로 179 7층,8층 (둔산동)",35230,127.3768209,36.3494046
1208,효촌푸른의원,의원,대전동구,성남동,대전광역시 동구 동서대로1668번길 33 2층 (성남동),34579,127.435234,36.3469385
1209,휴정신건강의학과의원,의원,대전서구,둔산동,"대전광역시 서구 둔산로 52 5층 (둔산동, 미라클빌딩)",35234,127.379713,36.3510389
1210,희망정신건강의학과의원,의원,대전서구,둔산동,대전광역시 서구 대덕대로 199 2층 (둔산동),35230,127.3777972,36.3510361
1211,李편한마음정신건강의학과의원,의원,대전중구,대흥동,대전광역시 중구 대흥로 105 3층 (대흥동),34917,127.4239096,36.3231609
1212,서울치과병원,치과병원,대전동구,용전동,대전광역시 동구 동서대로 1641,34552,127.4324003,36.3479322
1213,에이스마일치과병원,치과병원,대전유성구,반석동,대전광역시 유성구 반석로 24,34068,127.31205,36.3917189
1214,의료법인 영훈의료재단 선치과병원,치과병원,대전중구,중촌동,대전광역시 중구 대종로 645 (중촌동),34813,127.414053,36.3378677
1215,이엘치과병원,치과병원,대전대덕구,신탄진동,대전광역시 대덕구 신탄진로 782 (신탄진동),34312,127.4299292,36.4471513
1216,학교법인 원광학원 원광대학교치과대학 대전치과병원,치과병원,대전서구,둔산동,대전광역시 서구 둔산로 77 (둔산동),35233,127.3824144,36.351592
